datetime [AKST],HO [molec cm^-3],HO2 [molec cm^-3],H2O2 [molec cm^-3],O3 [molec cm^-3],NO2 [molec cm^-3],NO [molec cm^-3],HONO [molec cm^-3],NO3 [molec cm^-3]
03-Feb-2022 10:45:00,176306.334444475,380687.684505535,43499994.6297966,156139948531.28,962464117330.199,934740832057.35,25955032043.8239,31906.5716684854
03-Feb-2022 10:50:00,187956.645495431,400831.170527491,44115521.206544,158080465101.483,960517576863.94,949900850679.562,26377907168.5151,32715.9969823243
03-Feb-2022 10:55:00,201996.79007941,426588.105726643,44387090.1470073,161267388570.664,956384251634.457,953642704908.227,26980760477.0535,34103.5339195483
03-Feb-2022 11:00:00,216900.515164243,454942.647389009,44465630.7195784,165413297153.324,950587739418.749,949517245077.485,27505628874.7002,35950.48029051
03-Feb-2022 11:05:00,225752.720676202,471646.689668791,44566661.1695783,171503951132.966,943502932212.614,942101134465.894,27434326322.3323,37276.617371788
03-Feb-2022 11:10:00,233088.527018011,484738.798204762,44832148.1423067,176574560341.648,937859079079.978,938481192837.755,27219599907.2158,38298.7319063111
03-Feb-2022 11:15:00,239766.62505776,496021.132589134,45150752.2892694,181189354322.762,932929746515.296,937381095950.734,26964665226.0433,39148.7575814151
03-Feb-2022 11:20:00,246985.163418412,507976.233691927,45478919.4190624,186031804663.177,927896076137.287,937224145791.714,26676435544.2031,40002.0239566269
03-Feb-2022 11:25:00,253979.237292505,519405.220876659,45801886.016055,191152725836.01,922633151939.869,936932216601.92,26362272864.969,40898.2367969249
03-Feb-2022 11:30:00,260771.659420383,530361.003886328,46101398.5811902,196248653962.331,917432838260.561,936311508296.974,26037891882.6436,41794.3170848859
03-Feb-2022 11:35:00,264295.76461467,535438.715961804,46347066.4710237,199995128001.857,913638656208.871,934896506206.011,25730469645.7759,42483.3969671125
03-Feb-2022 11:40:00,267673.081408125,540086.731132429,46510450.7903079,202929377695.232,910716188672.349,933679921619.201,25450083721.2083,43032.0478764449
03-Feb-2022 11:45:00,271067.76859568,544556.763524195,46611159.5882835,205766854472.188,907935167305.489,933100727205.581,25190693327.6648,43536.5033014242
03-Feb-2022 11:50:00,281619.447578966,563118.334575485,46731131.429538,203813305869.646,906782418441.059,929714469882.85,25613622725.2909,45281.9437286867
03-Feb-2022 11:55:00,293575.070807714,583012.832184549,47104003.4864478,200147732030.821,907555605994.323,933725796526.678,26267294537.0371,46435.2668322433
03-Feb-2022 12:00:00,306298.983271948,603014.150805257,47639817.5172979,195364635088.313,909777262084.803,944313816401.439,27060591267.7177,47086.8256724476
03-Feb-2022 12:05:00,309877.337933797,605144.124217801,48300050.3186985,194040514834.302,911910176357.709,963061735396.118,27228819015.7631,46035.3932538225
03-Feb-2022 12:10:00,313194.803118533,607771.431383567,48799855.9504734,193326018194.492,913546329064.091,980256824118.211,27348138741.5699,45201.0270559531
03-Feb-2022 12:15:00,316213.294685188,610978.092578852,49227441.4471444,192970431195.225,914801669103.429,995617933613.494,27410234036.3793,44533.0108427386
03-Feb-2022 12:20:00,316697.852328893,610950.928922024,49616599.0541396,192516754770.264,916014678802.929,1007233130920.03,27406423981.541,44006.2615931103
03-Feb-2022 12:25:00,317131.12256545,612114.061740467,49963793.7689012,192435499604.952,916643152035.089,1014827484325.75,27345636539.4406,43710.4778264594
03-Feb-2022 12:30:00,317665.874041408,614363.788302034,50280113.5437727,192804538548.005,916656430191.315,1019551267713.6,27252137688.0072,43605.2267348278
03-Feb-2022 12:35:00,318804.569142827,618977.504958854,50587351.0180227,194080900290.19,915495957533.013,1019921021037.28,27090352307.838,43825.404547559
03-Feb-2022 12:40:00,320038.458902364,625095.362724354,50888586.831744,196299040867.051,913065992365.057,1015023413813.08,26854723092.138,44409.5324128234
03-Feb-2022 12:45:00,321384.819355161,632385.257067843,51185341.665448,199113855023.996,909808378425.583,1006472843066.91,26576660599.9414,45245.0749805863
03-Feb-2022 12:50:00,318609.586065746,634694.756691928,51380281.6555294,199972526283.835,908500526539.724,990896032740.65,26387388176.1485,46416.4661749175
03-Feb-2022 12:55:00,317178.38405332,641220.094110948,51221893.6748324,201426103670.277,905768273231.671,966150753831.632,26227806020.6024,48123.1072046476
03-Feb-2022 13:00:00,315614.32620878,649365.534354416,50804634.3831443,204135917920.92,901076456205.271,934799255274.198,25943408725.1693,50452.3183799617
03-Feb-2022 13:05:00,313217.000923935,653954.4272406,50247312.3391504,207765437430.862,895030383304.918,905444858814.857,25562282038.8865,52547.4416327669
03-Feb-2022 13:10:00,310261.214636843,655374.625449086,49799906.6899488,210168815430.754,890810833018.953,884268408647.946,25248471724.1249,54085.7098047763
03-Feb-2022 13:15:00,307051.070209088,654706.408199472,49457599.7303364,211541268079.158,888077999449.91,868880305032.559,25002305991.3859,55167.0603915365
03-Feb-2022 13:20:00,302493.078531738,649670.191469805,49191304.1834867,211669174234.882,886980280357.488,858247965081.026,24832919225.4889,55764.7704660718
03-Feb-2022 13:25:00,297894.314364967,643222.517837247,48975646.4626605,210803127734.296,887208162253.444,851794790493.83,24734715490.8488,55937.9417729176
03-Feb-2022 13:30:00,293306.276583991,635801.515781176,48796008.7350676,209283516900.599,888333318970.223,848367059869.228,24689406328.6512,55809.330555938
